Password;Length;Has_Uppercase;Has_Special;Security_Score
SMzwTaBYNEk;11;1;0;3
wgvy2hd;7;0;0;1
e4Qljp6sA;9;1;0;3
rwj7;4;0;0;1
"^n;/+OM""$>vY<";13;1;1;5
TpZ.&fks(cgV.DB)';17;1;1;5
"C[wXk9NSD""DXbSI";15;1;1;5
QKuBcnq9Die;11;1;0;3
FeRJWvF2;8;1;0;3
"@$wVNg/AN/WW;?u^0B";18;1;1;5
v1t6par;7;0;0;1
4y7lk6;6;0;0;1
9pr3t;5;0;0;1
bWu13c2N3C;10;1;0;3
C2+Ia<di-x61;12;1;1;5
wxzn4q;6;0;0;1
igHkBshd;8;1;0;3
mcQqPc2hbO;10;1;0;3
l2qw;4;0;0;1
">;!-k<qxD*6uo7~p0";17;1;1;5
Y@e9\OBtR<3Odr,CaJ;18;1;1;5
n5jg9;5;0;0;1
qylJmqJQcd;10;1;0;3
eAw8PJpyl;9;1;0;3
"|!PK>`}'J0jXTc|7""9";18;1;1;5
3LNNUbA8tM`5$;13;1;1;5
t9vgYC4HD;9;1;0;3
Z]k&eS/}o8XDLH;14;1;1;5
9jfs;4;0;0;1
yy3fjq;6;0;0;1
"rEcF[.;UZ_gkSdHJ";16;1;1;5
361qv3u;7;0;0;1
<clAE3KwZKf~joMm;16;1;1;5
7MsPY6b$k*C71@W`;16;1;1;5
3act;4;0;0;1
hc4i5dsb;8;0;0;2
YEEUHPQ2z;9;1;0;3
]-J{s{|e]U|Hb3;14;1;1;5
NXBTrZO3cRO;11;1;0;3
Yqb#tp8IdP}Ob9;14;1;1;5
mzl7eu;6;0;0;1
sQgwm9tei0;10;1;0;3
xkxbaw;6;0;0;1
sRRlp84AEe;10;1;0;3
#<9m@?2A,R=b6|Ljj[;18;1;1;5
hwyazu;6;0;0;1
"}WRnQ`k<Asm*;LS]~";17;1;1;5
9IGRlI5d;8;1;0;3
80mx;4;0;0;1
x0Me=BewV*zd;12;1;1;5
AzrhKxW#fh+U;12;1;1;5
lYRL+mL<DOa`P,R!B;17;1;1;5
xhvek;5;0;0;1
"4J%:""ocPH662PiBf";16;1;1;5
ei19h;5;0;0;1
MqwHmob6W;9;1;0;3
28ti9v;6;0;0;1
vTxVEpis9q;10;1;0;3
"7Gx8-D]c""HLVAw";14;1;1;5
z40op;5;0;0;1
ehqcKWlRn;9;1;0;3
"7*yl/Jdz/o}%hc&\;E";18;1;1;5
szi80k2;7;0;0;1
"!u""7b,Z*p$5<""_Kr";16;1;1;5
5cz0;4;0;0;1
bZZrIQm8fg;10;1;0;3
SsGWFbZf;8;1;0;3
SQVxhlbO;8;1;0;3
tq6fjg;6;0;0;1
zoMx7HzhH9;10;1;0;3
"@jda'(8I""YM&j";13;1;1;5
I(pfPN&.}@rGs;13;1;1;5
d7GVPRPl;8;1;0;3
"R8V3-@;t9Y""3Q@";14;1;1;5
mJpVnPoODh8;11;1;0;3
KEpWGDgNJT;10;1;0;3
jAaTR0tNRHZ;11;1;0;3
eb17j37;7;0;0;1
zd70;4;0;0;1
6ibwK6OTU;9;1;0;3
vs369Lj2V3;10;1;0;3
aJEz9bnr;8;1;0;3
